Blocks,Total,Func,Module
0,20,"bindText","Enclave/sqlite3.o"
0,14,"bitstob",""
0,21,"blobReadWrite","Enclave/sqlite3.o"
0,18,"blobSeekToRow","Enclave/sqlite3.o"
0,45,"btreeCreateTable","Enclave/sqlite3.o"
0,17,"btreeCursor","Enclave/sqlite3.o"
0,24,"btreeEndTransaction","Enclave/sqlite3.o"
0,7,"btreeGetPage","Enclave/sqlite3.o"
0,5,"btreeGetUnusedPage","Enclave/sqlite3.o"
0,7,"btreeHeapInsert","Enclave/sqlite3.o"
0,35,"btreeInitPage.part.0","Enclave/sqlite3.o"
0,1,"btreeInvokeBusyHandler","Enclave/sqlite3.o"
0,9,"btreeMoveto","Enclave/sqlite3.o"
0,26,"btreeNext","Enclave/sqlite3.o"
0,4,"btreePageLookup","Enclave/sqlite3.o"
0,1,"btreeParseCellAdjustSizeForOverflow","Enclave/sqlite3.o"
0,12,"btreeParseCellPtr","Enclave/sqlite3.o"
0,7,"btreeParseCellPtrIndex","Enclave/sqlite3.o"
0,1,"btreeParseCellPtrNoPayload","Enclave/sqlite3.o"
0,26,"btreePrevious","Enclave/sqlite3.o"
0,6,"btreeReleaseAllCursorPages","Enclave/sqlite3.o"
0,7,"btreeRestoreCursorPosition.part.0","Enclave/sqlite3.o"
0,1,"c_str",""
0,5,"cache_match",""
0,9,"callFinaliser","Enclave/sqlite3.o"
0,3,"call_newh",""
0,27,"callback","Enclave/Enclave.o"
0,8,"cast_to",""
0,1,"cdateFunc","Enclave/sqlite3.o"
0,11,"cellSizePtr","Enclave/sqlite3.o"
0,4,"cellSizePtrNoPayload","Enclave/sqlite3.o"
0,4,"change_permissions_ocall",""
0,3,"changes","Enclave/sqlite3.o"
0,18,"charFunc","Enclave/sqlite3.o"
0,12,"checkAppendMsg","Enclave/sqlite3.o"
0,7,"checkColumnOverlap.part.0","Enclave/sqlite3.o"
0,6,"checkConstraintExprNode","Enclave/sqlite3.o"
0,35,"checkList","Enclave/sqlite3.o"
0,11,"checkPtrmap","Enclave/sqlite3.o"
0,7,"checkRef","Enclave/sqlite3.o"
0,78,"checkTreePage","Enclave/sqlite3.o"
0,27,"check_action_record",""
0,14,"check_dynamic_entry_range",""
0,7,"check_rsrv_dyn_range",""
0,4,"check_static_stack_canary",""
0,17,"check_type_signature",""
0,1,"check_utility_thread_dynamic_stack",""
0,30,"clearCell","Enclave/sqlite3.o"
0,27,"clearDatabasePage","Enclave/sqlite3.o"
0,9,"clearSelect","Enclave/sqlite3.o"
0,5,"close","Enclave/ocall_interface.o"
0,7,"closeCursorsInFrame.part.0","Enclave/sqlite3.o"
0,6,"closePendingFds","Enclave/sqlite3.o"
0,7,"closeUnixFile","Enclave/sqlite3.o"
0,12,"codeApplyAffinity","Enclave/sqlite3.o"
0,39,"codeAttach","Enclave/sqlite3.o"
0,3,"codeCompare","Enclave/sqlite3.o"
0,8,"codeDistinct","Enclave/sqlite3.o"
0,76,"codeEqualityTerm","Enclave/sqlite3.o"
0,14,"codeExprOrVector","Enclave/sqlite3.o"
0,16,"codeInteger","Enclave/sqlite3.o"
0,1,"codeOffset.part.0","Enclave/sqlite3.o"
0,5,"codeReal.part.0","Enclave/sqlite3.o"
0,6,"columnMallocFailure","Enclave/sqlite3.o"
0,6,"columnMem","Enclave/sqlite3.o"
0,7,"columnName","Enclave/sqlite3.o"
0,31,"columnTypeImpl","Enclave/sqlite3.o"
0,6,"common_init",""
0,5,"comparisonAffinity","Enclave/sqlite3.o"
0,3,"compileoptiongetFunc","Enclave/sqlite3.o"
0,5,"compileoptionusedFunc","Enclave/sqlite3.o"
0,1,"computeCellSize","Enclave/sqlite3.o"
0,3,"computeHMS.part.0","Enclave/sqlite3.o"
0,14,"computeJD.part.0","Enclave/sqlite3.o"
0,21,"computeLimitRegisters.part.0","Enclave/sqlite3.o"
0,3,"computeNumericType","Enclave/sqlite3.o"
0,5,"computeYMD.part.0","Enclave/sqlite3.o"
0,7,"computeYMD_HMS","Enclave/sqlite3.o"
0,7,"connectionIsBusy.part.0","Enclave/sqlite3.o"
