Blocks,Total,Func,Module
8,12,"mpi_mul_hlp","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
8,9,"mpi_sub_hlp","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
20,31,"ocall_mbedtls_net_connect","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
5,12,"ocall_print_string","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
7,7,"oid_sig_alg_from_asn1.part.0","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
6,10,"pk_get_pk_alg","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
5,62,"pk_use_ecparams","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
2,5,"printf_sgx","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
6,8,"random_stack_advance<2048,__status_t,_unsigned_int,_void*,_int&,_void*&>",""
3,3,"rdrand<>",""
3,4,"restore_xregs",""
2,3,"rsa_alloc_wrap","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
3,4,"save_xregs",""
13,29,"sbrk",""
5,7,"segment_holding",""
1,1,"sgx_accept","ecalls.cpp.o"
7,9,"sgx_accept_backward",""
1,3,"sgx_connect","ecalls.cpp.o"
2,3,"sgx_dummy","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"sgx_is_enclave_crashed",""
8,9,"sgx_is_outside_enclave",""
8,9,"sgx_is_within_enclave",""
5,7,"sgx_ocall",""
8,12,"sgx_ocalloc",""
12,18,"sgx_read_rand",""
3,5,"sgx_sgx_accept","Enclave_t.c.o"
3,5,"sgx_sgx_connect","Enclave_t.c.o"
4,7,"sgx_spin_lock",""
1,1,"sgx_spin_unlock",""
5,12,"sgx_ssl_conn_handle","Enclave_t.c.o"
2,3,"sgx_ssl_conn_init","Enclave_t.c.o"
2,3,"sgx_ssl_conn_teardown","Enclave_t.c.o"
12,241,"ssl_client","s_client.c.o"
6,254,"ssl_server","s_server.c.o"
1,1,"strlen",""
8,10,"strncmp",""
7,9,"strstr",""
42,83,"sys_alloc",""
1,1,"tc_set_idle",""
50,110,"tmalloc_large",""
25,66,"tmalloc_small",""
12,17,"trts_ecall",""
12,17,"trts_mprotect",""
5,17,"unhexify","s_server.c.o"
3,4,"update_ocall_lastsp",""
6,10,"vsnprintf",""
0,1,"FUN_0010e000",""
0,3,"FUN_001c4fe8",""
0,1,"FUN_001c5008",""
0,1,"FUN_001c5045",""
0,3,"L_shift",""
0,1,"Lereport_inst",""
0,35,"TLSConnectionHandler","ssl_conn_hdlr.cpp.o"
0,178,"Unknown",""
0,11,"_UIx86_64__mempool_alloc",""
0,7,"_UIx86_64__mempool_free",""
0,6,"_UIx86_64__mempool_init",""
0,5,"_UIx86_64__sos_alloc",""
0,1,"_UIx86_64_mi_init",""
0,11,"_ULx86_64_Iextract_dynamic_proc_info",""
0,4,"_ULx86_64_Ifind_dynamic_proc_info",""
0,7,"_ULx86_64_Iput_dynamic_unwind_info",""
0,1,"_ULx86_64_access_fpreg",""
0,32,"_ULx86_64_access_reg",""
0,1,"_ULx86_64_cache_frame",""
0,1,"_ULx86_64_dwarf_apply_reg_state",""
0,48,"_ULx86_64_dwarf_callback",""
0,294,"_ULx86_64_dwarf_eval_expr",""
0,47,"_ULx86_64_dwarf_extract_proc_info_from_fde",""
0,14,"_ULx86_64_dwarf_find_proc_info",""
0,28,"_ULx86_64_dwarf_flush_rs_cache",""
0,8,"_ULx86_64_dwarf_make_proc_info",""
0,1,"_ULx86_64_dwarf_put_unwind_info",""
0,55,"_ULx86_64_dwarf_read_encoded_pointer",""
0,11,"_ULx86_64_dwarf_reg_states_iterate",""
0,38,"_ULx86_64_dwarf_search_unwind_table",""
0,24,"_ULx86_64_dwarf_stack_aligned",""
0,6,"_ULx86_64_dwarf_step",""
0,12,"_ULx86_64_fetch_frame",""
0,4,"_ULx86_64_get_proc_info",""
0,4,"_ULx86_64_get_reg",""
0,1,"_ULx86_64_handle_signal_frame",""
0,10,"_ULx86_64_init",""
0,1,"_ULx86_64_init_local",""
0,6,"_ULx86_64_init_local2",""
0,1,"_ULx86_64_init_mem_validate",""
0,1,"_ULx86_64_is_signal_frame",""
0,1,"_ULx86_64_local_addr_space_init",""
0,3,"_ULx86_64_local_resume",""
0,22,"_ULx86_64_r_uc_addr",""
0,4,"_ULx86_64_resume",""
0,3,"_ULx86_64_reuse_frame",""
0,1,"_ULx86_64_set_reg",""
0,1,"_ULx86_64_sigreturn",""
0,34,"_ULx86_64_stash_frame",""
0,43,"_ULx86_64_step",""
0,1,"_U_dyn_info_list_addr",""
0,12,"_Unwind_Backtrace",""
0,3,"_Unwind_GetDataRelBase",""
0,3,"_Unwind_GetIP",""
0,3,"_Unwind_GetLanguageSpecificData",""
0,3,"_Unwind_GetRegionStart",""
0,1,"_Unwind_GetTextRelBase",""
0,45,"_Unwind_RaiseException",""
0,28,"_Unwind_Resume",""
0,33,"_Unwind_Resume_or_Rethrow",""
0,1,"_Unwind_SetGR",""
0,1,"_Unwind_SetIP",""
0,1,"_Ux86_64_dwarf_init",""
0,6,"_Ux86_64_flush_cache",""
0,3,"_Ux86_64_get_accessors",""
0,1,"_Ux86_64_getcontext",""
0,1,"_Ux86_64_getcontext_trace",""
0,1,"_Ux86_64_is_fpreg",""
0,1,"_Ux86_64_setcontext",""
0,11,"__Balloc_D2A",""
0,5,"__Bfree_D2A",""
0,12,"__ULtod_D2A",""
0,4,"__alloc",""
0,12,"__any_on_D2A",""
0,1,"__assert",""
0,1,"__assert_fail",""
0,17,"__b2d_D2A",""
0,11,"__cmp_D2A",""
0,24,"__copy_assign_alloc",""
0,7,"__copybits_D2A",""
0,1,"__cxa_allocate_dependent_exception",""
0,1,"__cxa_allocate_exception",""
0,10,"__cxa_begin_catch",""
0,4,"__cxa_call_unexpected",""
0,4,"__cxa_current_exception_type",""
0,4,"__cxa_current_primary_exception",""
0,4,"__cxa_decrement_exception_refcount",""
0,9,"__cxa_end_catch",""
0,5,"__cxa_free_dependent_exception",""
0,6,"__cxa_free_exception",""
0,1,"__cxa_get_exception_ptr",""
0,1,"__cxa_get_globals",""
0,1,"__cxa_get_globals_fast",""
0,1,"__cxa_guard_abort",""
0,9,"__cxa_guard_acquire",""
0,1,"__cxa_guard_release",""
0,6,"__cxa_increment_exception_refcount",""
0,5,"__cxa_rethrow",""
0,4,"__cxa_rethrow_primary_exception",""
0,1,"__cxa_throw",""
0,20,"__d2b_D2A",""
0,6,"__decrement_D2A",""
0,19,"__diff_D2A",""
0,23,"__do_catch",""
0,23,"__do_upcast",""
0,293,"__dtoa",""
0,1,"__dynamic_cast",""
0,12,"__erase_to_end",""
0,1,"__errno",""
0,1001,"__find_arguments",""
0,16,"__find_end<bool_(*)(char,_char),_char_const*,_char_const*>",""
0,16,"__find_end<bool_(*)(wchar_t,_wchar_t),_wchar_t_const*,_wchar_t_const*>",""
0,10,"__find_first_of_ce<char_const*,_char_const*,_bool_(*)(char,_char)>",""
0,10,"__find_first_of_ce<wchar_t_const*,_wchar_t_const*,_bool_(*)(wchar_t,_wchar_t)>",""
0,12,"__fpclassify",""
0,10,"__fpclassifyf",""
0,12,"__fpclassifyl",""
0,1,"__freedtoa",""
0,347,"__gdtoa",""
0,2,"__get_long_cap",""
0,4,"__get_long_pointer",""
0,2,"__get_long_size",""
0,16,"__get_pointer",""
0,4,"__get_short_pointer",""
0,2,"__get_short_size",""
0,1,"__get_thread_info_ptr",""
0,174,"__gethex_D2A",""
0,50,"__grow_by",""
0,54,"__grow_by_and_replace",""
0,22,"__grow_type_table",""
0,29,"__gxx_personality_v0",""
0,37,"__hdtoa",""
0,62,"__hexnan_D2A",""
0,13,"__hi0bits_D2A",""
0,37,"__hldtoa",""
0,4,"__i2b_D2A",""
0,10,"__increment_D2A",""
0,15,"__init<char_const*>",""
0,15,"__init<wchar_t_const*>",""
0,3,"__intel_security_check_cookie",""
0,2,"__invalidate_all_iterators",""
0,2,"__invalidate_iterators_past",""
0,56,"__invariants",""
0,2,"__is_function_p",""
0,2,"__is_long",""
0,2,"__is_pointer_p",""
0,14,"__ldtoa",""
0,4,"__libcpp_refstring",""
0,19,"__lo0bits_D2A",""
0,16,"__lshift_D2A",""
0,9,"__match_D2A",""
0,28,"__mbsconv",""
0,4,"__memmove",""
0,42,"__move_assign",""
0,10,"__move_assign_alloc",""
0,26,"__mult_D2A",""
0,10,"__multadd_D2A",""
0,8,"__nrv_alloc_D2A",""
0,25,"__pow5mult_D2A",""
0,22,"__quorem_D2A",""
0,6,"__ratio_D2A",""
0,8,"__recommend",""
0,12,"__rshift_D2A",""
0,7,"__rv_alloc_D2A",""
0,18,"__s2b_D2A",""
0,17,"__search<bool_(*)(char,_char),_char_const*,_char_const*>",""
0,17,"__search<bool_(*)(wchar_t,_wchar_t),_wchar_t_const*,_wchar_t_const*>",""
0,2,"__set_long_cap",""
0,2,"__set_long_pointer",""
0,2,"__set_long_size",""
0,12,"__set_ones_D2A",""
0,2,"__set_short_size",""
0,8,"__set_size",""
0,1,"__stack_chk_fail",""
0,1,"__stack_chk_fail_local",""
0,433,"__strtodg",""
0,17,"__sum_D2A",""
0,3,"__throw_length_error",""
0,3,"__throw_out_of_range",""
0,1,"__tls_get_addr",""
0,9,"__trailz_D2A",""
0,54,"__udivmodti4",""
0,1,"__udivti3",""
0,11,"__ulp_D2A",""
0,770,"__vfwprintf",""
0,20,"__wcsconv",""
0,1,"__x86_indirect_thunk_r10",""
0,1,"__x86_indirect_thunk_r11",""
0,1,"__x86_indirect_thunk_r12",""
0,1,"__x86_indirect_thunk_r13",""
0,1,"__x86_indirect_thunk_r14",""
0,1,"__x86_indirect_thunk_r15",""
0,1,"__x86_indirect_thunk_r8",""
0,1,"__x86_indirect_thunk_r9",""
0,1,"__x86_indirect_thunk_rax",""
0,1,"__x86_indirect_thunk_rbp",""
0,1,"__x86_indirect_thunk_rbx",""
0,1,"__x86_indirect_thunk_rcx",""
0,1,"__x86_indirect_thunk_rdi",""
0,1,"__x86_indirect_thunk_rdx",""
0,1,"__x86_indirect_thunk_rsi",""
0,1,"__x86_return_thunk",""
0,8,"__xfputwc",""
0,8,"__zero",""
0,1,"_bcopy",""
0,5,"_memchr",""
0,1,"_pthread_thread_run",""
0,1,"_pthread_tls_destructors",""
0,1,"_pthread_tls_get_state",""
0,1,"_pthread_tls_store_context",""
0,1,"_pthread_tls_store_state",""
0,1,"_pthread_wakeup_join",""
0,12,"_strcmp",""
0,1,"abort",""
0,18,"accept_post_remove",""
0,10,"access_fpreg",""
0,9,"access_mem",""
0,10,"access_reg",""
0,4,"add_memory",""
0,4,"add_one_and_zeros_padding","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
0,4,"add_pkcs_padding","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
0,45,"add_segment",""
